,Unnamed: 0,scale,path,psnr,ssim,lpips,chamfer
13337,13337,"(704, 1408)",/root/autodl-tmp/animedata/train_10k/Hayao_0_01272_s2,38.717120793413706,0.9989585,0.011955,5.630723e-06
8876,8876,"(320, 640)",/root/autodl-tmp/animedata/train_10k/Disney_12_03193_s2,34.631799884109945,0.9993642,0.01196,3.8476055e-06
17568,17568,"(448, 896)",/root/autodl-tmp/animedata/train_10k/Japan_9_103362_s3,32.21177956387964,0.96453273,0.0121,5.9722643e-06
16232,16232,"(576, 1152)",/root/autodl-tmp/animedata/train_10k/Japan_2_63176_s3,39.24656554188481,0.9888671,0.01211,9.686999e-06
15942,15942,"(1088, 2176)",/root/autodl-tmp/animedata/train_10k/Japan_2_21634_s3,36.45523454546862,0.753899,0.012146,4.1823764e-06
9249,9249,"(576, 1152)",/root/autodl-tmp/animedata/train_10k/Disney_13_04211_s1,44.25658603676603,0.9958702,0.01219,7.3249557e-06
15869,15869,"(320, 640)",/root/autodl-tmp/animedata/train_10k/Japan_2_198851_s3,36.81429345330149,1.0016781,0.01224,5.64523e-06
15870,15870,"(448, 896)",/root/autodl-tmp/animedata/train_10k/Japan_2_198857_s2,36.698642109675525,0.99797744,0.01224,5.650454e-06
8962,8962,any,/root/autodl-tmp/animedata/train_10k/Disney_11_03032_s2,37.35678247034714,0.9936829,0.01225,5.575524e-06
15512,15512,"(576, 1152)",/root/autodl-tmp/animedata/train_10k/Japan_2_14172_s2,33.02671473013341,0.9884206,0.01225,5.594952e-06
8963,8963,"(960, 1920)",/root/autodl-tmp/animedata/train_10k/Disney_11_03033_s2,37.38707853413384,0.99377203,0.01227,5.528528e-06
8859,8859,"(832, 1664)",/root/autodl-tmp/animedata/train_10k/Disney_11_02092_s2,37.14549257155495,0.99488705,0.01233,5.4187694e-06
11339,11339,any,/root/autodl-tmp/animedata/train_10k/Disney_7_01497_s2,35.21063343997555,0.9943349,0.01233,8.989601e-06
11686,11686,"(448, 896)",/root/autodl-tmp/animedata/train_10k/Disney_v2_12_02063_s2,42.37645701997734,0.99452806,0.01239,6.926683e-06
8526,8526,"(448, 896)",/root/autodl-tmp/animedata/train_10k/Disney_0_12153_s2,44.60634654992458,1.1131667,0.01242,4.2268834e-06
12436,12436,"(576, 1152)",/root/autodl-tmp/animedata/train_10k/Disney_v2_6_02263_s2,37.96313863350697,0.9917321,0.01245,5.78123e-06
8530,8530,"(448, 896)",/root/autodl-tmp/animedata/train_10k/Disney_0_12181_s2,45.20513958420592,1.0530982,0.01255,3.933534e-06
15312,15312,"(448, 896)",/root/autodl-tmp/animedata/train_10k/Japan_2_101290_s2,38.32513055593216,0.9913309,0.012596,5.7346815e-06
8529,8529,"(320, 640)",/root/autodl-tmp/animedata/train_10k/Disney_0_12178_s2,45.43773154326946,1.0571895,0.0126,4.2053884e-06
8525,8525,"(256, 512)",/root/autodl-tmp/animedata/train_10k/Disney_0_12152_s2,43.7732156435463,1.1157225,0.012665,4.9472555e-06
13563,13563,"(1088, 2176)",/root/autodl-tmp/animedata/train_10k/Hayao_0_01532_s2,33.50331546634043,0.996383,0.012695,5.7471752e-06
15726,15726,any,/root/autodl-tmp/animedata/train_10k/Japan_2_180377_s2,33.30709044118032,0.9927241,0.012764,6.253398e-06
15623,15623,any,/root/autodl-tmp/animedata/train_10k/Japan_2_160286_s2,38.89068052147608,0.9912577,0.01278,6.2722143e-06
11361,11361,"(448, 896)",/root/autodl-tmp/animedata/train_10k/Disney_7_02445_s1,37.93123205502771,0.99642104,0.01279,1.0651772e-05
12408,12408,"(1088, 2176)",/root/autodl-tmp/animedata/train_10k/Disney_v2_6_00177_s1,38.904937739201486,0.9921528,0.012825,6.07912e-06
9247,9247,any,/root/autodl-tmp/animedata/train_10k/Disney_13_04209_s1,42.18168856054994,0.99350953,0.01284,8.91114e-06
16087,16087,"(832, 1664)",/root/autodl-tmp/animedata/train_10k/Japan_2_31385_s2,34.41089776002861,0.9911565,0.01287,6.7826777e-06
16130,16130,"(320, 640)",/root/autodl-tmp/animedata/train_10k/Japan_2_39829_s2,33.7485595811005,0.98316246,0.012955,6.18478e-06
16088,16088,"(576, 1152)",/root/autodl-tmp/animedata/train_10k/Japan_2_31910_s2,34.27605422232627,1.0013311,0.01296,5.8666315e-06
10053,10053,"(704, 1408)",/root/autodl-tmp/animedata/train_10k/Disney_23_00618_s2,35.51546162958287,0.9916581,0.01302,8.156125e-06
16121,16121,"(1088, 2176)",/root/autodl-tmp/animedata/train_10k/Japan_2_38679_s2,38.27050812040287,0.99027294,0.013054,6.2357894e-06
11379,11379,"(704, 1408)",/root/autodl-tmp/animedata/train_10k/Disney_7_03976_s2,35.40538554911873,0.99536884,0.01306,1.1146078e-05
8528,8528,"(448, 896)",/root/autodl-tmp/animedata/train_10k/Disney_0_12171_s2,44.99013643588784,1.0717082,0.01308,4.1543876e-06
12281,12281,any,/root/autodl-tmp/animedata/train_10k/Disney_v2_18_02854_s2,37.30263971678614,0.9946003,0.01316,9.461808e-06
9250,9250,any,/root/autodl-tmp/animedata/train_10k/Disney_13_04213_s1,42.428283792681,0.9940385,0.01323,8.391717e-06
16215,16215,any,/root/autodl-tmp/animedata/train_10k/Japan_2_60188_s2,35.71603478560215,0.99290967,0.01323,8.155114e-06
8710,8710,any,/root/autodl-tmp/animedata/train_10k/Disney_10_03206_s2,39.67665846779715,1.0084081,0.01325,6.0080033e-06
8944,8944,any,/root/autodl-tmp/animedata/train_10k/Disney_11_02639_s2,37.11448243993512,0.9905413,0.01326,5.608388e-06
